additional_support_fee,device_discount_24,device_name,manufacturer,plan_discount_24,public_support_fee,release_price,carrier,plan_type,plan_name,monthly_fee,crawled_at
75000,35000,갤럭시 S25 엣지 512GB,삼성,0,500000,1639000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
75000,35000,갤럭시 S25 엣지 256GB,삼성,0,500000,1496000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,갤럭시 S25 Ultra 1TB,삼성,0,700000,2127400,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,갤럭시 S25 Ultra 512GB,삼성,0,700000,1841400,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,갤럭시 S25 Ultra 256GB,삼성,0,700000,1698400,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,갤럭시 S25+ 512GB,삼성,0,700000,1496000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,갤럭시 S25+ 256GB,삼성,0,700000,1353000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,갤럭시 S25 512GB,삼성,0,700000,1298000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,갤럭시 S25 256GB,삼성,0,700000,1155000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,갤럭시 S25 크록스 토이스토리 에디션 256GB,삼성,0,700000,1177000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,iPhone 16 Pro Max 1TB,기타,0,700000,2497000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,iPhone 16 Pro Max 512GB,기타,0,700000,2200000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:45
105000,265000,iPhone 16 Pro Max 256GB,기타,0,700000,1892000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 Pro 1TB,기타,0,700000,2299000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 Pro 512GB,기타,0,700000,1991000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 Pro 256GB,기타,0,700000,1694000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 Pro 128GB,기타,0,700000,1540000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 Plus 512GB,기타,0,700000,1793000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 Plus 256GB,기타,0,700000,1496000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 Plus 128GB,기타,0,700000,1342000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 512GB,기타,0,700000,1694000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 256GB,기타,0,700000,1397000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
105000,265000,iPhone 16 128GB,기타,0,700000,1243000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
75000,35000,iPhone 16e 512GB,기타,0,500000,1430000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:46
75000,35000,iPhone 16e 256GB,기타,0,500000,1133000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:48
75000,35000,iPhone 16e 128GB,기타,0,500000,990000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:48
90000,150000,갤럭시 S24 FE,삼성,0,600000,946000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:48
19000,0,갤럭시 A16,삼성,221000,300000,319000,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:48
400,0,맘편안폰3,기타,40600,499000,499400,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:48
900,0,갤럭시 A25 5G,삼성,90100,449000,449900,KT,5G,넷플릭스 초이스 프리미엄,130000,2025-06-08 22:43:48
